ticker_yf,obs_date,y_inclusion_horizon,y_exclusion_horizon,y_any_change_horizon,days_to_next_inclusion,days_to_next_exclusion,days_to_next_any_change,horizon_days,date_grid_mode,label_fully_observed,证券代码,中文简称,英文简称,code_num,sources,universe_flag
0291.HK,2017-09-04,0,0,0,651.0,,651.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2017-12-04,0,0,0,560.0,,560.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2018-03-05,0,0,0,469.0,,469.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2018-06-04,0,0,0,378.0,,378.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2018-09-10,0,0,0,280.0,,280.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2018-12-10,0,0,0,189.0,,189.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2019-03-11,0,0,0,98.0,,98.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2019-06-17,0,0,0,903.0,,903.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2019-09-09,0,0,0,819.0,,819.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2019-12-09,0,0,0,728.0,,728.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2020-03-09,0,0,0,637.0,,637.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2020-06-08,0,0,0,546.0,,546.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2020-09-07,0,0,0,455.0,,455.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2020-12-07,0,0,0,364.0,,364.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2021-03-15,0,0,0,266.0,,266.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2021-06-07,0,0,0,182.0,,182.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2021-09-06,0,0,0,91.0,,91.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2021-12-06,0,0,0,,,1554.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2022-06-13,0,0,0,,,1365.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2022-12-05,0,0,0,,,1190.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2023-12-04,0,0,0,,,826.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2024-03-04,0,0,0,,,735.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2024-06-11,0,0,0,,,636.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2024-09-09,0,0,0,,,546.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2024-12-09,0,0,0,,,455.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2025-03-10,0,0,0,,,364.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2025-06-09,0,0,0,,,273.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2025-12-08,0,0,0,,,91.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2026-03-09,0,0,0,,,,60,event_dates,0,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0293.HK,2016-03-14,0,0,0,,630.0,630.0,60,event_dates,1,293.0,国泰航空,CATHAY PAC AIR,293.0,eligible,hk_only
0293.HK,2016-06-06,0,0,0,,546.0,546.0,60,event_dates,1,293.0,国泰航空,CATHAY PAC AIR,293.0,eligible,hk_only
0293.HK,2016-09-05,0,0,0,,455.0,455.0,60,event_dates,1,293.0,国泰航空,CATHAY PAC AIR,293.0,eligible,hk_only
0293.HK,2016-12-05,0,0,0,,364.0,364.0,60,event_dates,1,293.0,国泰航空,CATHAY PAC AIR,293.0,eligible,hk_only
0293.HK,2017-03-06,0,0,0,,273.0,273.0,60,event_dates,1,293.0,国泰航空,CATHAY PAC AIR,293.0,eligible,hk_only
0293.HK,2017-09-04,0,0,0,,91.0,91.0,60,event_dates,1,293.0,国泰航空,CATHAY PAC AIR,293.0,eligible,hk_only
0293.HK,2017-12-04,0,0,0,,,1372.0,60,event_dates,1,293.0,国泰航空,CATHAY PAC AIR,293.0,eligible,hk_only
0293.HK,2018-03-05,0,0,0,,,1281.0,60,event_dates,1,293.0,国泰航空,CATHAY PAC AIR,293.0,eligible,hk_only
0293.HK,2018-06-04,0,0,0,,,1190.0,60,event_dates,1,293.0,国泰航空,CATHAY PAC AIR,293.0,eligible,hk_only
0293.HK,2018-09-10,0,0,0,,,1092.0,60,event_dates,1,293.0,国泰航空,CATHAY PAC AIR,293.0,eligible,hk_only
0293.HK,2018-12-10,0,0,0,,,1001.0,60,event_dates,1,293.0,国泰航空,CATHAY PAC AIR,293.0,eligible,hk_only
