event_date,ticker_yf,y_inclusion_binary,index,neg_subtype,feature_anchor_date,feature_boundary_calendar,calendar_days_before,close_at_event_anchor,ret_5d_pre,ret_20d_pre,ret_60d_pre,dist_from_60d_high,dist_from_252d_high,volume_at_event_anchor,dollar_volume_at_event_anchor,avg_volume_20d_pre,avg_volume_60d_pre,avg_dollar_volume_20d_pre,avg_dollar_volume_60d_pre,realized_vol_20d_pre,realized_vol_60d_pre,shares_source,market_cap_available,market_cap_is_approx,turnover_available,market_cap_approx,share_turnover_at_event_anchor,year,month,prior_inclusion_count_ticker
2019-03-11,2611.HK,0,Hang Seng Stock Connect China AH Index Series,Exclusion,2018-11-09,2018-11-11,120,15.5,-0.07628132504572582,0.0,-0.05140759759753455,-0.10817026763790005,-0.260143225034173,371400.0,5756700.0,685467.0,592535.1666666666,11250971.37094431,9615047.484214846,0.023222144670740814,0.028276138796217813,yfinance_info_static_sharesOutstanding,1,1,1,54339277644.0,0.00010593994343676446,2019,3,1.0
2019-09-09,2611.HK,1,Hang Seng China 50 Index,,2019-05-10,2019-05-12,120,15.15999984741211,-0.09112712409795443,-0.1405895480751348,-0.12773299312728914,-0.1936169966684299,-0.2161323822231953,1812600.0,27479015.72341919,5306691.55,3245103.1333333333,87301298.1992137,55417532.46807645,0.02189400070381156,0.017492912035327917,yfinance_info_static_sharesOutstanding,1,1,1,53147318760.7435,0.000517034845108991,2019,9,1.0
2021-09-06,2616.HK,1,Hang Seng Composite Index,,2021-05-07,2021-05-09,120,10.279999732971191,-0.07553958284466811,0.09129507958725958,-0.062043823248996044,-0.0966608409848656,-0.1749598955458741,2703500.0,27791979.278087616,2454993.85,1910900.5833333333,25949099.834600925,19038558.11681479,0.0452633058785705,0.038802674013130284,,0,0,0,,,2021,9,0.0
2024-09-09,2618.HK,0,Hang Seng China Enterprises Index,Removal,2024-05-10,2024-05-12,120,8.989999771118164,-0.018558960603255237,0.12939695075817714,0.20348059218453018,-0.023887108156089853,-0.3379970676270265,7214501.0,64858362.338731766,6929624.5,7288808.866666666,58182245.11791899,59094854.466079086,0.024682510874832208,0.02846424004613601,,0,0,0,,,2024,9,0.0
2018-09-10,2628.HK,0,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,2018-05-11,2018-05-13,120,22.549999237060547,0.03203656033729252,0.027334781469991354,-0.06625260483408235,-0.052521010086989506,-0.1859206275824088,29489235.0,664982226.7514992,35649451.1,42687192.2,785469179.138194,962495380.32438,0.010744518291096595,0.012106651984863616,yfinance_info_static_sharesOutstanding,1,1,1,167798490572.834,0.003962980980826281,2018,9,0.0
2018-09-10,2638.HK,1,Hang Seng Composite LargeCap & MidCap Index,,2018-05-11,2018-05-13,120,7.300000190734863,0.0013717735163463196,-0.03054449039375795,0.022409009417533987,-0.05684749268664846,-0.05684749268664846,6074001.0,44340208.45852375,3987521.6,6406510.716666667,29247894.210493993,47685413.45021941,0.00539209048323094,0.007592105417672341,yfinance_info_static_sharesOutstanding,1,1,1,64504261685.3714,0.0006873996740680383,2018,9,0.0
2025-03-10,2678.HK,0,Hang Seng Composite Index,Removal,2024-11-08,2024-11-10,120,4.260000228881836,0.009478777412064598,-0.04269653674764473,0.14209120833731226,-0.18234161272732363,-0.21402210905599972,639000.0,2722140.146255493,1545992.3,1291842.8833333333,6570682.918947172,5272640.927750174,0.028343391711123263,0.03741431993298356,,0,0,0,,,2025,3,0.0
2019-06-17,2688.HK,1,Hang Seng China Enterprises Index,,2019-02-15,2019-02-17,120,76.0,0.019449991802622746,0.0489993540550997,0.1135531135531136,-0.029993599488036926,-0.13587262493340002,1496465.0,113731340.0,1895135.45,1992912.6833333333,142259252.41200295,143691437.43536416,0.01878761804852029,0.020512451801947225,yfinance_info_static_sharesOutstanding,1,1,1,84456343300.0,0.0013466287499094222,2019,6,0.0
2020-09-07,2688.HK,1,Hang Seng ESG 50 Index,,2020-05-08,2020-05-10,120,88.8499984741211,0.01426940664124876,0.11761004369963635,0.041617764306634664,-0.027367269203712574,-0.07592306745614563,3442220.0,305841241.7475891,2941914.45,3250119.033333333,243934890.3548687,259494863.08855793,0.023331181347981542,0.029847806945182437,yfinance_info_static_sharesOutstanding,1,1,1,98736131228.09009,0.0030975615303486625,2020,9,1.0
2021-12-06,2688.HK,1,Hang Seng Index,,2021-08-06,2021-08-08,120,166.5,0.024615384615384706,0.13188302577521593,0.19956769696837107,-0.03197674418604646,-0.03197674418604646,1002782.0,166963203.0,2004037.4,1886542.5833333333,326327681.92825395,284425425.750193,0.02129344394376622,0.017218694814440244,yfinance_info_static_sharesOutstanding,1,1,1,185026067887.5,0.0009023766483624209,2021,12,2.0
