date,index,change_type,ticker,ticker_normalized,company
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Add,00655,00655.HK,YYTM
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Add,00801,00801.HK,HUAXIN CEMENT
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Add,01311,01311.HK,CAMEL GROUP
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Add,01788,01788.HK,EB SECURITIES
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Add,01857,01857.HK,PETROCHINA
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Add,01865,01865.HK,FLAT GLASS
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Add,01939,01939.HK,CCB
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Add,03259,03259.HK,WUXI APPTEC
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Add,88187,88187.HK,TIMES ELECTRIC
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Add,88707,88707.HK,ZEC
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Add 0,00016,00016.HK,MINSHENG BANK
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Add 6,00008,00008.HK,BEIJING CAPITAL
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Add 6,00048,00048.HK,PRE
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Add 6,00124,00124.HK,INOVANCE
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Add 6,00333,00333.HK,MIDEA GROUP
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Add 6,00347,00347.HK,TIGERMED
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Add 6,00759,00759.HK,PHARMARON
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Add 6,00760,00760.HK,MINDRAY
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Add 6,00825,00825.HK,STSS
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Add 6,02129,02129.HK,TZE
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Add 6,02352,02352.HK,SF HOLDING
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Remove,00029,00029.HK,CHINA SOUTH AIR
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Remove,00104,00104.HK,SAIC MOTOR
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Remove,00115,00115.HK,CHINA EAST AIR
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Remove,00380,00380.HK,JOINCARE
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Remove,00588,00588.HK,YONYOU
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Remove,00732,00732.HK,SHANGHAI XINMEI
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Remove,00919,00919.HK,BANK OF JIANGSU
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Remove,00999,00999.HK,CMSC
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Remove,01088,01088.HK,CHINA SHENHUA
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Remove,01108,01108.HK,CAITONG SECURITIES
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Remove,02236,02236.HK,DAHUA INC
9/9/24,Hang Seng (China A) Corporate Sustainability Benchmark Index,Remove,03993,03993.HK,CMOC
9/9/24,Hang Seng (China A) Corporate Sustainability Index,Inclusion,300750,300750.SZ,"Contemporary Amperex Technology Co., Ltd."
