证券代码,中文简称,英文简称,code_num,ticker_yf
2580,奥克斯电气,AUX ELECTRIC,2580,2580.HK
2582,国富氢能,GUOFUHEE,2582,2582.HK
2583,西普尼,HIPINE,2583,2583.HK
2586,多点数智,DMALL,2586,2586.HK
2587,健康之路,HEALTHYWAY INC,2587,2587.HK
2588,中银航空租赁,BOC AVIATION,2588,2588.HK
2589,沪上阿姨,AUNTEA JENNY,2589,2589.HK
2590,极智嘉－Ｗ,GEEKPLUS-W,2590,2590.HK
2591,银诺医药－Ｂ,INNOGEN-B,2591,2591.HK
2595,劲方医药－Ｂ,GENFLEET-B,2595,2595.HK
2600,中国铝业,CHALCO,2600,2600.HK
2601,中国太保,CPIC,2601,2601.HK
2602,万物云,ONEWO,2602,2602.HK
2603,吉宏股份,JIHONG CO,2603,2603.HK
2607,上海医药,SH PHARMA,2607,2607.HK
2609,佰泽医疗,BAYZED HEALTH,2609,2609.HK
2610,南山铝业国际,NANSHAN AL INTL,2610,2610.HK
2611,国泰海通,GTHT,2611,2611.HK
2617,药捷安康－Ｂ,TRANSTHERA-B,2617,2617.HK
2618,京东物流,JD LOGISTICS,2618,2618.HK
2627,中慧生物－Ｂ,AB&B BIO-TECH-B,2627,2627.HK
2628,中国人寿,CHINA LIFE,2628,2628.HK
2629,,MIRXES-B,2629,2629.HK
2631,天岳先进,SICC,2631,2631.HK
2637,海西新药,HAIXI PHARMA,2637,2637.HK
2643,曹操出行,CAOCAO INC,2643,2643.HK
2648,安井食品,ANJOY FOOD,2648,2648.HK
2652,长风药业,CF PHARMTECH,2652,2652.HK
2655,果下科技,GUOXIA TECH,2655,2655.HK
2656,健康１６０,160 HEALTH,2656,2656.HK
2659,宝济药业－Ｂ,BAO PHARMA-B,2659,2659.HK
2661,轻松健康,QINGSONG HEALTH,2661,2661.HK
2665,图达通,SEYOND,2665,2665.HK
2666,环球医疗,UNI MEDICAL,2666,2666.HK
2669,中海物业,CHINA OVS PPT,2669,2669.HK
2676,纳芯微,NOVOSENSE,2676,2676.HK
2685,量化派,QUANTGROUP,2685,2685.HK
2687,卓越睿新,ABLE DIGITAL,2687,2687.HK
2688,新奥能源,ENN ENERGY,2688,2688.HK
2689,玖龙纸业,ND PAPER,2689,2689.HK
2691,南华期货股份,NANHUA FUTURES,2691,2691.HK
2692,兆威机电,ZHAOWEI,2692,2692.HK
2698,乐舒适,SOFTCARE,2698,2698.HK
2714,牧原股份,MUYUAN,2714,2714.HK
2727,上海电气,SH ELECTRIC,2727,2727.HK
2768,国恩科技,GON TECHNOLOGY,2768,2768.HK
2788,创新实业,CHUANGXIN IND,2788,2788.HK
2799,中信金融资产,CITIC FAMC,2799,2799.HK
2800,盈富基金,TRACKER FUND,2800,2800.HK
2801,安硕中国,ISHARES CHINA,2801,2801.HK
2825,标智香港１００,WISECSIHK100ETF,2825,2825.HK
