announcement_date,ref_trading_day,cutoff_trading_days_before,asof_date,asof_calendar_ok,ticker_yf,y_review,in_eligible_universe,row_kind,y_review_code
2022-12-05,2022-12-05,5,2022-11-28,True,3339.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3347.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3360.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3369.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3380.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3393.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3396.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3403.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3423.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3432.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3441.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3442.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3606.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3613.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3618.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3633.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3668.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3677.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3678.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3690.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3692.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3696.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3698.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3738.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3750.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3759.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3800.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3808.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3858.HK,no_change,True,eligible_no_change,0
