source_row_id,ticker_normalized_raw,ticker_raw,ticker_parse_status,parsed_tokens,mapped_tickers
956,0288.HK,288,parse_ok,0288.HK,0288.HK
957,0384.HK,384,parse_ok,0384.HK,0384.HK
958,0659.HK,659,parse_ok,0659.HK,0659.HK
959,0836.HK,836,parse_ok,0836.HK,0836.HK
960,2319.HK,2319,parse_ok,2319.HK,2319.HK
961,2688.HK,2688,parse_ok,2688.HK,2688.HK
962,0175.HK,175,parse_ok,0175.HK,0175.HK
963,0390.HK,390,parse_ok,0390.HK,0390.HK
964,1112.HK,1112,parse_ok,1112.HK,1112.HK
965,1316.HK,1316,parse_ok,1316.HK,1316.HK
966,1658.HK,1658,parse_ok,1658.HK,1658.HK
967,3377.HK,3377,parse_ok,3377.HK,3377.HK
968,3988.HK,3988,parse_ok,3988.HK,3988.HK
969,1810.HK,1810,parse_ok,1810.HK,1810.HK
970,2269.HK,2269,parse_ok,2269.HK,2269.HK
971,9988.HK,9988,parse_ok,9988.HK,9988.HK
972,0083.HK,83,parse_ok,0083.HK,0083.HK
973,0151.HK,151,parse_ok,0151.HK,0151.HK
974,1088.HK,1088,parse_ok,1088.HK,1088.HK
975,002243.SZ,2243,parse_ok,002243.SZ,002243.SZ
976,002791.SZ,2791,parse_ok,002791.SZ,002791.SZ
977,0041.HK,41,parse_ok,0041.HK,0041.HK
978,1268.HK,1268,parse_ok,1268.HK,1268.HK
979,2039.HK,2039,parse_ok,2039.HK,2039.HK
980,2356.HK,2356,parse_ok,2356.HK,2356.HK
981,600143.SH,600143,parse_ok,600143.SH,600143.SS
982,9922.HK,9922,parse_ok,9922.HK,9922.HK
983,9926.HK,9926,parse_ok,9926.HK,9926.HK
984,002168.SZ,2168,parse_ok,002168.SZ,002168.SZ
985,002475.SZ,2475,parse_ok,002475.SZ,002475.SZ
986,002482.SZ,2482,parse_ok,002482.SZ,002482.SZ
987,002815.SZ,2815,parse_ok,002815.SZ,002815.SZ
988,0215.HK,215,parse_ok,0215.HK,0215.HK
989,0308.HK,308,parse_ok,0308.HK,0308.HK
990,0315.HK,315,parse_ok,0315.HK,0315.HK
991,300297.SZ,300297,parse_ok,300297.SZ,300297.SZ
992,300633.SZ,300633,parse_ok,300633.SZ,300633.SZ
993,0241.HK,241,parse_ok,0241.HK,0241.HK
994,0688.HK,688,parse_ok,0688.HK,0688.HK
995,0981.HK,981,parse_ok,0981.HK,0981.HK
996,3333.HK,3333,parse_ok,3333.HK,3333.HK
997,3692.HK,3692,parse_ok,3692.HK,3692.HK
998,6186.HK,6186,parse_ok,6186.HK,6186.HK
999,6862.HK,6862,parse_ok,6862.HK,6862.HK
1000,9618.HK,9618,parse_ok,9618.HK,9618.HK
1001,9999.HK,9999,parse_ok,9999.HK,9999.HK
1002,0151.HK,151,parse_ok,0151.HK,0151.HK
