source_row_id,index_raw,index,index_normalization_status
1203,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
1204,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
1205,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
1206,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
1207,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
1208,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
1209,Hang Seng China A Top 100 Index,Hang Seng China A Top 100 Index,unchanged
1210,Hang Seng China A Top 100 Index,Hang Seng China A Top 100 Index,unchanged
1211,Hang Seng China A Top 100 Index,Hang Seng China A Top 100 Index,unchanged
1212,Hang Seng China A Top 100 Index,Hang Seng China A Top 100 Index,unchanged
1213,Hang Seng China A Top 100 Index,Hang Seng China A Top 100 Index,unchanged
1214,Hang Seng China A Top 100 Index,Hang Seng China A Top 100 Index,unchanged
1215,Hang Seng China A Top 100 Index,Hang Seng China A Top 100 Index,unchanged
1216,Hang Seng China A Top 100 Index,Hang Seng China A Top 100 Index,unchanged
1217,Hang Seng China A Top 100 Index,Hang Seng China A Top 100 Index,unchanged
1218,Hang Seng China A Top 100 Index,Hang Seng China A Top 100 Index,unchanged
1219,Hang Seng China A Top 100 Index,Hang Seng China A Top 100 Index,unchanged
1220,Hang Seng China A Top 100 Index,Hang Seng China A Top 100 Index,unchanged
1221,Hang Seng China A Top 100 Index,Hang Seng China A Top 100 Index,unchanged
1222,Hang Seng China A Top 100 Index,Hang Seng China A Top 100 Index,unchanged
1223,Hang Seng China A Top 100 Index,Hang Seng China A Top 100 Index,unchanged
1224,Hang Seng China A Top 100 Index,Hang Seng China A Top 100 Index,unchanged
1225,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1226,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1227,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1228,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1229,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1230,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1231,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1232,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1233,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1234,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1235,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1236,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1237,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1238,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1239,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1240,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1241,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1242,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1243,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1244,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1245,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1246,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1247,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1248,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1249,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1250,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1251,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1252,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1253,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1254,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1255,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1256,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1257,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1258,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1259,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1260,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1261,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1262,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1263,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1264,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1265,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1266,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1267,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1268,Hang Seng Corporate Sustainability Index,Hang Seng Corporate Sustainability Index,unchanged
1269,Hang Seng Corporate Sustainability Index,Hang Seng Corporate Sustainability Index,unchanged
1270,Hang Seng Corporate Sustainability Index,Hang Seng Corporate Sustainability Index,unchanged
1271,Hang Seng Corporate Sustainability Index,Hang Seng Corporate Sustainability Index,unchanged
1272,Hang Seng Corporate Sustainability Index,Hang Seng Corporate Sustainability Index,unchanged
1273,Hang Seng Corporate Sustainability Index,Hang Seng Corporate Sustainability Index,unchanged
1274,Hang Seng Corporate Sustainability Index,Hang Seng Corporate Sustainability Index,unchanged
1275,Hang Seng Corporate Sustainability Index,Hang Seng Corporate Sustainability Index,unchanged
