date,index,change_type,ticker,ticker_normalized,company,source_row_id,change_type_raw,index_raw,index_normalization_status,symbol_rank_within_row,is_primary_symbol,symbol_token_raw,ticker_yf_normalized,ticker_parse_status,ticker_yf
2017-09-04,Hang Seng China AH Index Series,Inclusion,2611 / 601211,2611.HK / 601211.SH,"Guotai Junan Securities Co., Ltd.",177,Inclusion,Hang Seng China AH Index Series,unchanged,2,0,601211.SH,601211.SS,parse_ok,601211.SS
2017-09-04,Hang Seng China AH Index Series,Inclusion,2883 / 601808,2883.HK / 601808.SH,China Oilfield Services Ltd.,178,Inclusion,Hang Seng China AH Index Series,unchanged,1,1,2883.HK,2883.HK,parse_ok,2883.HK
2017-09-04,Hang Seng China AH Index Series,Inclusion,2883 / 601808,2883.HK / 601808.SH,China Oilfield Services Ltd.,178,Inclusion,Hang Seng China AH Index Series,unchanged,2,0,601808.SH,601808.SS,parse_ok,601808.SS
2017-09-04,Hang Seng China AH Index Series,Inclusion,6881 / 601881,6881.HK / 601881.SH,"China Galaxy Securities Co., Ltd.",179,Inclusion,Hang Seng China AH Index Series,unchanged,1,1,6881.HK,6881.HK,parse_ok,6881.HK
2017-09-04,Hang Seng China AH Index Series,Inclusion,6881 / 601881,6881.HK / 601881.SH,"China Galaxy Securities Co., Ltd.",179,Inclusion,Hang Seng China AH Index Series,unchanged,2,0,601881.SH,601881.SS,parse_ok,601881.SS
2018-03-05,Hang Seng China 50 Index,Exclusion,1776 / 000776,1776.HK / 000776.SZ,"GF Securities Co., Ltd.",246,Exclusion,Hang Seng China 50 Index,unchanged,1,1,1776.HK,1776.HK,parse_ok,1776.HK
2018-03-05,Hang Seng China 50 Index,Exclusion,1776 / 000776,1776.HK / 000776.SZ,"GF Securities Co., Ltd.",246,Exclusion,Hang Seng China 50 Index,unchanged,2,0,000776.SZ,000776.SZ,parse_ok,000776.SZ
2018-03-05,Hang Seng China 50 Index,Inclusion,1336 / 601336,1336.HK / 601336.SH,New China Life Insurance Co. Ltd.,249,Inclusion,Hang Seng China 50 Index,unchanged,1,1,1336.HK,1336.HK,parse_ok,1336.HK
2018-03-05,Hang Seng China 50 Index,Inclusion,1336 / 601336,1336.HK / 601336.SH,New China Life Insurance Co. Ltd.,249,Inclusion,Hang Seng China 50 Index,unchanged,2,0,601336.SH,601336.SS,parse_ok,601336.SS
2018-03-05,Hang Seng China AH Index Series,Exclusion,548 / 600548,0548.HK / 600548.SH,Shenzhen Expressway Co. Ltd.,254,Exclusion,Hang Seng China AH Index Series,unchanged,1,1,0548.HK,0548.HK,parse_ok,0548.HK
2018-03-05,Hang Seng China AH Index Series,Exclusion,548 / 600548,0548.HK / 600548.SH,Shenzhen Expressway Co. Ltd.,254,Exclusion,Hang Seng China AH Index Series,unchanged,2,0,600548.SH,600548.SS,parse_ok,600548.SS
2018-03-05,Hang Seng China AH Index Series,Exclusion,1065 / 600874,1065.HK / 600874.SH,Tianjin Capital Environmental Protection Group Co. Ltd.,255,Exclusion,Hang Seng China AH Index Series,unchanged,1,1,1065.HK,1065.HK,parse_ok,1065.HK
2018-03-05,Hang Seng China AH Index Series,Exclusion,1065 / 600874,1065.HK / 600874.SH,Tianjin Capital Environmental Protection Group Co. Ltd.,255,Exclusion,Hang Seng China AH Index Series,unchanged,2,0,600874.SH,600874.SS,parse_ok,600874.SS
2018-03-05,Hang Seng China AH Index Series,Inclusion,1513 / 000513,1513.HK / 000513.SZ,Livzon Pharmaceutical Group Inc.,256,Inclusion,Hang Seng China AH Index Series,unchanged,1,1,1513.HK,1513.HK,parse_ok,1513.HK
2018-03-05,Hang Seng China AH Index Series,Inclusion,1513 / 000513,1513.HK / 000513.SZ,Livzon Pharmaceutical Group Inc.,256,Inclusion,Hang Seng China AH Index Series,unchanged,2,0,000513.SZ,000513.SZ,parse_ok,000513.SZ
2018-03-05,Hang Seng China AH Index Series,Inclusion,3958 / 600958,3958.HK / 600958.SH,Orient Securities Company Limited,257,Inclusion,Hang Seng China AH Index Series,unchanged,1,1,3958.HK,3958.HK,parse_ok,3958.HK
2018-03-05,Hang Seng China AH Index Series,Inclusion,3958 / 600958,3958.HK / 600958.SH,Orient Securities Company Limited,257,Inclusion,Hang Seng China AH Index Series,unchanged,2,0,600958.SH,600958.SS,parse_ok,600958.SS
2018-09-10,Hang Seng China 50 Index,Exclusion,1186 / 601186,1186.HK / 601186.SH,China Railway Construction Corporation Ltd.,336,Exclusion,Hang Seng China 50 Index,unchanged,1,1,1186.HK,1186.HK,parse_ok,1186.HK
